Board ID,Class,SubjectID,Book Name,Unit,Chapter,Topic,QuestionID,Question Description,References,Question Type,Option1,Weightage1,Option2,Weigtage2,Option3,Weightage3,Option4,Weightage4,CorrectAnswer
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q07,Lowered blocks are called as,,MCQ1,Lower,0,Horst,0,High,0,Graben,5,option 4
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q08,It is a land surface higher than the local area,,MCQ1,Plain,0,Plateau,0,Hill,5,Mountain,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q09,A steep hill with an elevation of more than 600 metres is called,,MCQ1,Mountain,5,Hill,0,Glaciers,0,Plains,0,option 1
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q10,Rivers of ice are called,,MCQ1,Ice bergs,0,Ice sheet,0,Glaciers,5,Ice cubes,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q11,Wearing away of earth's surface is called,,MCQ1,Erosion,5,Weather,0,Climate,0,Horst,0,option 1
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q12,Elevated table land is called,,MCQ1,Plateau,5,Plain,0,Rivers,0,Mountains,0,option 1
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q13,External process leads to,,MCQ1,Upliftment of earth’s surface,0,Sinking of the earth surface,0,Continuous wearing down of the land surface,5,Continues wearing of the internal surface areas,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q14,Which of the following is not an agent of erosion and deposition?,,MCQ1,Wind,0,Glaciers,0,Earthquake,5,Running water,0,option 3
,CL06,GE,the earth our habitat ,,C06,,CL6_GE_B28_C06_Q15,These are large stretches of flat land,,MCQ1,Mountain,0,Plain,5,River,0,Plateau,0,option 2
,CL06,HS,Our Past-1,,C05,,CL6_HS_B27_C05_Q01,Small states ruled by the tribal's were called,,MCQ1,Janapadas,5,Maharuler,0,Village,0,Mahajanapadas,0,option 1
,CL06,HS,Our Past-1,,C05,,CL6_HS_B27_C05_Q02,Large kingdoms comprise many Janapadas known as,,MCQ1,Macrojanapadas,0,MultiJanapadas,0,Mahajanpadas,5,Badajanapadas,0,option 3
,CL06,HS,Our Past-1,,C05,,CL6_HS_B27_C05_Q03,Who was the king of Magadha who ruled between 547 to 495 B.C?,,MCQ1,Nanda,0,Bimbisara,5,Ashoka,0,Ajatshatru,0,option 2
